0xffffff80086e1f7c: sub	sp, sp, #0xd0
0xffffff80086e2810: bl	#0xffffff80082007a8
0xffffff80086e2814: mov	w2, #0x14
0xffffff80086e2818: mov	x0, x19
0xffffff80086e281c: mov	x1, x20
0xffffff80086e2820: bl	#0xffffff80083a3a00
0xffffff80086e2824: cmp	w0, #0
0xffffff80086e2828: csel	x21, x22, x21, eq
0xffffff80086e282c: b	#0xffffff80086e2d60
0xffffff80086e2830: mrs	x8, sp_el0
0xffffff80086e2834: ldr	x8, [x8, #8]
0xffffff80086e2838: mov	x9, x20
0xffffff80086e283c: adds	x9, x9, #0x10
0xffffff80086e2840: ccmp	x9, x8, #2, lo
0xffffff80086e2844: cset	x10, ls
0xffffff80086e2848: cbz	x10, #0xffffff80086e2f10
0xffffff80086e284c: add	x0, sp, #0x38
0xffffff80086e2850: mov	w1, #0x10
0xffffff80086e2854: mov	w2, wzr
0xffffff80086e2858: bl	#0xffffff80082007a8
0xffffff80086e285c: add	x0, sp, #0x38
0xffffff80086e2860: mov	w2, #0x10
0xffffff80086e2864: mov	x1, x20
0xffffff80086e2868: bl	#0xffffff80083a33c0
0xffffff80086e286c: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2870: mov	w8, #0x3902
0xffffff80086e2874: movk	w8, #2, lsl #16
0xffffff80086e2878: mov	w9, #2
0xffffff80086e287c: strb	w9, [x19, x8]
0xffffff80086e2880: ldrb	w8, [sp, #0x42]
0xffffff80086e2884: cbnz	w8, #0xffffff80086e2a78
0xffffff80086e2888: ldrb	w8, [sp, #0x43]
0xffffff80086e288c: cbnz	w8, #0xffffff80086e2a78
0xffffff80086e2890: ldrb	w8, [sp, #0x44]
0xffffff80086e2894: cbnz	w8, #0xffffff80086e2a78
0xffffff80086e2898: ldrb	w8, [sp, #0x45]
0xffffff80086e289c: cbnz	w8, #0xffffff80086e2a78
0xffffff80086e28a0: ldrb	w8, [sp, #0x46]
0xffffff80086e28a4: cbnz	w8, #0xffffff80086e2a78
0xffffff80086e28a8: ldrb	w8, [sp, #0x47]
0xffffff80086e28ac: cbnz	w8, #0xffffff80086e2a78
0xffffff80086e28b0: ldr	x1, [sp, #0x38]
0xffffff80086e28b4: ldrb	w3, [sp, #0x41]
0xffffff80086e28b8: ldrb	w2, [sp, #0x40]
0xffffff80086e28bc: mov	x0, x19
0xffffff80086e28c0: b	#0xffffff80086e26ac
0xffffff80086e28c4: mrs	x8, sp_el0
0xffffff80086e28c8: ldr	x8, [x8, #8]
0xffffff80086e28cc: mov	x9, x20
0xffffff80086e28d0: adds	x9, x9, #0x10
0xffffff80086e28d4: ccmp	x9, x8, #2, lo
0xffffff80086e28d8: cset	x10, ls
