0xffffff80086e1f7c: sub	sp, sp, #0xd0
0xffffff80086e2810: bl	#0xffffff80082007a8
0xffffff80086e2814: mov	w2, #0x14
0xffffff80086e2818: mov	x0, x19
0xffffff80086e281c: mov	x1, x20
0xffffff80086e2820: bl	#0xffffff80083a3a00
0xffffff80086e2824: cmp	w0, #0
0xffffff80086e2828: csel	x21, x22, x21, eq
0xffffff80086e282c: b	#0xffffff80086e2d60
0xffffff80086e2830: mrs	x8, sp_el0
0xffffff80086e2834: ldr	x8, [x8, #8]
0xffffff80086e2838: mov	x9, x20
0xffffff80086e283c: adds	x9, x9, #0x10
0xffffff80086e2840: ccmp	x9, x8, #2, lo
0xffffff80086e2844: cset	x10, ls
0xffffff80086e2848: cbz	x10, #0xffffff80086e2f10
0xffffff80086e284c: add	x0, sp, #0x38
0xffffff80086e2850: mov	w1, #0x10
0xffffff80086e2854: mov	w2, wzr
0xffffff80086e2858: bl	#0xffffff80082007a8
0xffffff80086e285c: add	x0, sp, #0x38
0xffffff80086e2860: mov	w2, #0x10
0xffffff80086e2864: mov	x1, x20
0xffffff80086e2868: bl	#0xffffff80083a33c0
0xffffff80086e286c: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2870: mov	w8, #0x3902
0xffffff80086e2874: movk	w8, #2, lsl #16
0xffffff80086e2878: mov	w9, #2
0xffffff80086e287c: strb	w9, [x19, x8]
0xffffff80086e2880: ldrb	w8, [sp, #0x42]
0xffffff80086e2884: cbnz	w8, #0xffffff80086e2a78
0xffffff80086e2888: ldrb	w8, [sp, #0x43]
0xffffff80086e288c: cbnz	w8, #0xffffff80086e2a78
0xffffff80086e2890: ldrb	w8, [sp, #0x44]
0xffffff80086e2894: cbnz	w8, #0xffffff80086e2a78
0xffffff80086e2898: ldrb	w8, [sp, #0x45]
0xffffff80086e289c: cbnz	w8, #0xffffff80086e2a78
0xffffff80086e28a0: ldrb	w8, [sp, #0x46]
0xffffff80086e28a4: cbnz	w8, #0xffffff80086e2a78
0xffffff80086e28a8: ldrb	w8, [sp, #0x47]
0xffffff80086e28ac: cbnz	w8, #0xffffff80086e2a78
0xffffff80086e28b0: ldr	x1, [sp, #0x38]
0xffffff80086e28b4: ldrb	w3, [sp, #0x41]
0xffffff80086e28b8: ldrb	w2, [sp, #0x40]
0xffffff80086e28bc: mov	x0, x19
0xffffff80086e28c0: b	#0xffffff80086e26ac
0xffffff80086e28c4: mrs	x8, sp_el0
0xffffff80086e28c8: ldr	x8, [x8, #8]
0xffffff80086e28cc: mov	x9, x20
0xffffff80086e28d0: adds	x9, x9, #0x10
0xffffff80086e28d4: ccmp	x9, x8, #2, lo
0xffffff80086e28d8: cset	x10, ls
0xffffff80086e28dc: cbz	x10, #0xffffff80086e2f10
0xffffff80086e28e0: add	x0, sp, #0x38
0xffffff80086e28e4: mov	w1, #0x10
0xffffff80086e28e8: mov	w2, wzr
0xffffff80086e28ec: bl	#0xffffff80082007a8
0xffffff80086e28f0: add	x0, sp, #0x38
0xffffff80086e28f4: mov	w2, #0x10
0xffffff80086e28f8: mov	x1, x20
0xffffff80086e28fc: bl	#0xffffff80083a33c0
0xffffff80086e2900: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2904: ldp	x1, x2, [sp, #0x38]
0xffffff80086e2908: mov	x0, x19
0xffffff80086e290c: bl	#0xffffff80086def94
0xffffff80086e2910: b	#0xffffff80086e32f8
0xffffff80086e2914: mrs	x22, sp_el0
0xffffff80086e2918: ldr	x8, [x22, #8]
0xffffff80086e291c: mov	x9, x20
0xffffff80086e2920: adds	x9, x9, #0x10
0xffffff80086e2924: ccmp	x9, x8, #2, lo
0xffffff80086e2928: cset	x10, ls
0xffffff80086e292c: cbz	x10, #0xffffff80086e2f10
0xffffff80086e2930: add	x0, sp, #0x38
0xffffff80086e2934: mov	w1, #0x10
0xffffff80086e2938: mov	w2, wzr
0xffffff80086e293c: bl	#0xffffff80082007a8
0xffffff80086e2940: add	x0, sp, #0x38
0xffffff80086e2944: mov	w2, #0x10
0xffffff80086e2948: mov	x1, x20
0xffffff80086e294c: bl	#0xffffff80083a33c0
0xffffff80086e2950: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2954: ldr	w8, [sp, #0x40]
0xffffff80086e2958: cmp	w8, #4
0xffffff80086e295c: b.hi	#0xffffff80086e2a78
0xffffff80086e2960: ldr	x21, [sp, #0x38]
0xffffff80086e2964: ldr	x9, [x22, #8]
0xffffff80086e2968: lsl	x20, x8, #2
0xffffff80086e296c: mov	x8, x21
0xffffff80086e2970: adds	x8, x8, x20
0xffffff80086e2974: ccmp	x8, x9, #2, lo
0xffffff80086e2978: cset	x10, ls
0xffffff80086e297c: cbz	x10, #0xffffff80086e29b0
0xffffff80086e2980: ldr	x8, [x19, #8]
0xffffff80086e2984: mov	w9, #0x1ba8
0xffffff80086e2988: mov	w2, #1
0xffffff80086e298c: mov	x1, x20
0xffffff80086e2990: add	x19, x8, x9
0xffffff80086e2994: mov	x0, x19
0xffffff80086e2998: bl	#0xffffff80082007a8
0xffffff80086e299c: mov	x0, x21
0xffffff80086e29a0: mov	x1, x19
0xffffff80086e29a4: mov	x2, x20
0xffffff80086e29a8: bl	#0xffffff80083a3a00
0xffffff80086e29ac: mov	x20, x0
0xffffff80086e29b0: cmp	w20, #0
0xffffff80086e29b4: mov	x8, #-0xe
0xffffff80086e29b8: csel	x21, xzr, x8, eq
0xffffff80086e29bc: b	#0xffffff80086e2d60
0xffffff80086e29c0: mrs	x23, sp_el0
0xffffff80086e29c4: ldr	x8, [x23, #8]
0xffffff80086e29c8: mov	x9, x20
0xffffff80086e29cc: adds	x9, x9, #0x10
0xffffff80086e29d0: ccmp	x9, x8, #2, lo
0xffffff80086e29d4: cset	x10, ls
0xffffff80086e29d8: cbz	x10, #0xffffff80086e2f10
0xffffff80086e29dc: add	x0, sp, #0x38
0xffffff80086e29e0: mov	w1, #0x10
0xffffff80086e29e4: mov	w2, wzr
0xffffff80086e29e8: bl	#0xffffff80082007a8
0xffffff80086e29ec: add	x0, sp, #0x38
0xffffff80086e29f0: mov	w2, #0x10
0xffffff80086e29f4: mov	x1, x20
0xffffff80086e29f8: bl	#0xffffff80083a33c0
0xffffff80086e29fc: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2a00: ldr	w0, [sp, #0x40]
0xffffff80086e2a04: mov	w8, #0xe719
0xffffff80086e2a08: movk	w8, #1, lsl #16
0xffffff80086e2a0c: cmp	w0, w8
0xffffff80086e2a10: b.lo	#0xffffff80086e2f50
0xffffff80086e2a14: ldr	x8, [x19, #8]
0xffffff80086e2a18: adrp	x1, #0xffffff8008fce000
0xffffff80086e2a1c: add	x1, x1, #0xeea
0xffffff80086e2a20: ldr	x0, [x8, #0x20]
0xffffff80086e2a24: bl	#0xffffff80084332ac
0xffffff80086e2a28: mov	x21, #-0x16
0xffffff80086e2a2c: b	#0xffffff80086e2d60
0xffffff80086e2a30: mrs	x8, sp_el0
0xffffff80086e2a34: ldr	x8, [x8, #8]
0xffffff80086e2a38: mov	x9, x20
0xffffff80086e2a3c: adds	x9, x9, #0x10
0xffffff80086e2a40: ccmp	x9, x8, #2, lo
0xffffff80086e2a44: cset	x10, ls
0xffffff80086e2a48: cbz	x10, #0xffffff80086e2f10
0xffffff80086e2a4c: add	x0, sp, #0x38
0xffffff80086e2a50: mov	w1, #0x10
0xffffff80086e2a54: mov	w2, wzr
0xffffff80086e2a58: bl	#0xffffff80082007a8
0xffffff80086e2a5c: add	x0, sp, #0x38
0xffffff80086e2a60: mov	w2, #0x10
0xffffff80086e2a64: mov	x1, x20
0xffffff80086e2a68: bl	#0xffffff80083a33c0
0xffffff80086e2a6c: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2a70: ldr	w8, [sp, #0x44]
0xffffff80086e2a74: cbz	w8, #0xffffff80086e3070
0xffffff80086e2a78: mov	x21, #-0x16
0xffffff80086e2a7c: b	#0xffffff80086e2d60
0xffffff80086e2a80: mrs	x22, sp_el0
0xffffff80086e2a84: ldr	x8, [x22, #8]
0xffffff80086e2a88: mov	x9, x20
0xffffff80086e2a8c: adds	x9, x9, #0x10
0xffffff80086e2a90: ccmp	x9, x8, #2, lo
0xffffff80086e2a94: cset	x10, ls
0xffffff80086e2a98: cbz	x10, #0xffffff80086e2f40
0xffffff80086e2a9c: add	x0, sp, #0x18
0xffffff80086e2aa0: mov	w1, #0x10
0xffffff80086e2aa4: mov	w2, wzr
0xffffff80086e2aa8: bl	#0xffffff80082007a8
0xffffff80086e2aac: add	x0, sp, #0x18
0xffffff80086e2ab0: mov	w2, #0x10
0xffffff80086e2ab4: mov	x1, x20
0xffffff80086e2ab8: bl	#0xffffff80083a33c0
0xffffff80086e2abc: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2ac0: ldr	x8, [sp, #0x18]
0xffffff80086e2ac4: sub	x9, x8, #1
0xffffff80086e2ac8: cmp	x9, #9
0xffffff80086e2acc: b.ls	#0xffffff80086e2f70
0xffffff80086e2ad0: mov	x21, #-0x4b
0xffffff80086e2ad4: b	#0xffffff80086e2d60
0xffffff80086e2ad8: mrs	x22, sp_el0
0xffffff80086e2adc: ldr	x8, [x22, #8]
0xffffff80086e2ae0: mov	x9, x20
0xffffff80086e2ae4: adds	x9, x9, #0x10
0xffffff80086e2ae8: ccmp	x9, x8, #2, lo
0xffffff80086e2aec: cset	x10, ls
0xffffff80086e2af0: cbz	x10, #0xffffff80086e2f40
0xffffff80086e2af4: add	x0, sp, #0x18
0xffffff80086e2af8: mov	w1, #0x10
0xffffff80086e2afc: mov	w2, wzr
0xffffff80086e2b00: bl	#0xffffff80082007a8
0xffffff80086e2b04: add	x0, sp, #0x18
0xffffff80086e2b08: mov	w2, #0x10
0xffffff80086e2b0c: mov	x1, x20
0xffffff80086e2b10: bl	#0xffffff80083a33c0
0xffffff80086e2b14: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2b18: ldr	x8, [sp, #0x18]
0xffffff80086e2b1c: sub	x9, x8, #1
0xffffff80086e2b20: cmp	x9, #9
0xffffff80086e2b24: b.ls	#0xffffff80086e2fbc
0xffffff80086e2b28: mov	w20, #-0x4b
0xffffff80086e2b2c: sxtw	x21, w20
0xffffff80086e2b30: b	#0xffffff80086e2d60
0xffffff80086e2b34: bl	#0xffffff80086e6ef4
0xffffff80086e2b38: str	w0, [sp, #0x38]
0xffffff80086e2b3c: mrs	x8, sp_el0
0xffffff80086e2b40: ldr	x8, [x8, #8]
0xffffff80086e2b44: mov	x9, x20
0xffffff80086e2b48: adds	x9, x9, #4
0xffffff80086e2b4c: ccmp	x9, x8, #2, lo
0xffffff80086e2b50: cset	x10, ls
0xffffff80086e2b54: mov	x21, #-0xe
0xffffff80086e2b58: cbnz	x10, #0xffffff80086e220c
0xffffff80086e2b5c: b	#0xffffff80086e2d60
0xffffff80086e2b60: mrs	x8, sp_el0
0xffffff80086e2b64: ldr	x8, [x8, #8]
0xffffff80086e2b68: mov	x9, x20
0xffffff80086e2b6c: adds	x9, x9, #0x18
0xffffff80086e2b70: ccmp	x9, x8, #2, lo
0xffffff80086e2b74: cset	x10, ls
0xffffff80086e2b78: cbz	x10, #0xffffff80086e2f0c
0xffffff80086e2b7c: add	x0, sp, #0x38
0xffffff80086e2b80: mov	w1, #0x18
0xffffff80086e2b84: mov	w2, wzr
0xffffff80086e2b88: bl	#0xffffff80082007a8
0xffffff80086e2b8c: add	x0, sp, #0x38
0xffffff80086e2b90: mov	w2, #0x18
0xffffff80086e2b94: mov	x1, x20
0xffffff80086e2b98: bl	#0xffffff80083a33c0
0xffffff80086e2b9c: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2ba0: ldr	x2, [sp, #0x40]
0xffffff80086e2ba4: tbnz	w2, #5, #0xffffff80086e2f68
0xffffff80086e2ba8: ldr	x1, [sp, #0x38]
0xffffff80086e2bac: ldr	w3, [sp, #0x48]
0xffffff80086e2bb0: mov	x0, x19
0xffffff80086e2bb4: bl	#0xffffff80086ddd80
0xffffff80086e2bb8: b	#0xffffff80086e32f8
0xffffff80086e2bbc: mrs	x8, sp_el0
0xffffff80086e2bc0: ldr	x8, [x8, #8]
0xffffff80086e2bc4: mov	x9, x20
0xffffff80086e2bc8: adds	x9, x9, #0x20
0xffffff80086e2bcc: ccmp	x9, x8, #2, lo
0xffffff80086e2bd0: cset	x10, ls
0xffffff80086e2bd4: cbz	x10, #0xffffff80086e2f3c
0xffffff80086e2bd8: add	x0, sp, #0x18
0xffffff80086e2bdc: mov	w1, #0x20
0xffffff80086e2be0: mov	w2, wzr
0xffffff80086e2be4: bl	#0xffffff80082007a8
0xffffff80086e2be8: add	x0, sp, #0x18
0xffffff80086e2bec: mov	w2, #0x20
0xffffff80086e2bf0: mov	x1, x20
0xffffff80086e2bf4: bl	#0xffffff80083a33c0
0xffffff80086e2bf8: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2bfc: ldp	x8, x9, [sp, #0x18]
0xffffff80086e2c00: ldr	x10, [sp, #0x28]
0xffffff80086e2c04: ldrb	w11, [sp, #0x30]
0xffffff80086e2c08: add	x1, sp, #0x38
0xffffff80086e2c0c: mov	x0, x19
0xffffff80086e2c10: stp	x8, x9, [sp, #0x38]
0xffffff80086e2c14: str	x10, [sp, #0x48]
0xffffff80086e2c18: strb	w11, [sp, #0x50]
0xffffff80086e2c1c: strb	wzr, [sp, #0x57]
0xffffff80086e2c20: sturh	wzr, [sp, #0x55]
0xffffff80086e2c24: stur	wzr, [sp, #0x51]
0xffffff80086e2c28: bl	#0xffffff80086c7d0c
0xffffff80086e2c2c: b	#0xffffff80086e32f8
0xffffff80086e2c30: mrs	x21, sp_el0
0xffffff80086e2c34: ldr	x8, [x21, #8]
0xffffff80086e2c38: mov	x9, x20
0xffffff80086e2c3c: adds	x9, x9, #0x18
0xffffff80086e2c40: ccmp	x9, x8, #2, lo
0xffffff80086e2c44: cset	x10, ls
0xffffff80086e2c48: cbz	x10, #0xffffff80086e2f0c
0xffffff80086e2c4c: add	x0, sp, #0x38
0xffffff80086e2c50: mov	w1, #0x18
0xffffff80086e2c54: mov	w2, wzr
0xffffff80086e2c58: bl	#0xffffff80082007a8
0xffffff80086e2c5c: add	x0, sp, #0x38
0xffffff80086e2c60: mov	w2, #0x18
0xffffff80086e2c64: mov	x1, x20
0xffffff80086e2c68: bl	#0xffffff80083a33c0
0xffffff80086e2c6c: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2c70: ldp	x1, x2, [sp, #0x40]
0xffffff80086e2c74: add	x3, sp, #0x38
0xffffff80086e2c78: mov	x0, x19
0xffffff80086e2c7c: bl	#0xffffff80086c7904
0xffffff80086e2c80: ldr	x8, [x21, #8]
0xffffff80086e2c84: mov	x9, x20
0xffffff80086e2c88: mov	w19, w0
0xffffff80086e2c8c: mov	x21, #-0xe
0xffffff80086e2c90: adds	x9, x9, #0x18
0xffffff80086e2c94: ccmp	x9, x8, #2, lo
0xffffff80086e2c98: cset	x10, ls
0xffffff80086e2c9c: cbz	x10, #0xffffff80086e2d60
0xffffff80086e2ca0: add	x0, sp, #0x38
0xffffff80086e2ca4: mov	w1, #0x18
0xffffff80086e2ca8: mov	w2, #1
0xffffff80086e2cac: bl	#0xffffff80082007a8
0xffffff80086e2cb0: add	x1, sp, #0x38
0xffffff80086e2cb4: mov	w2, #0x18
0xffffff80086e2cb8: b	#0xffffff80086e2e80
0xffffff80086e2cbc: mrs	x8, sp_el0
0xffffff80086e2cc0: ldr	x8, [x8, #8]
0xffffff80086e2cc4: mov	x9, x20
0xffffff80086e2cc8: adds	x9, x9, #4
0xffffff80086e2ccc: ccmp	x9, x8, #2, lo
0xffffff80086e2cd0: cset	x10, ls
0xffffff80086e2cd4: cbz	x10, #0xffffff80086e2d58
0xffffff80086e2cd8: add	x0, sp, #0x38
0xffffff80086e2cdc: mov	w1, #4
0xffffff80086e2ce0: mov	w2, wzr
0xffffff80086e2ce4: bl	#0xffffff80082007a8
0xffffff80086e2ce8: add	x0, sp, #0x38
0xffffff80086e2cec: mov	w2, #4
0xffffff80086e2cf0: mov	x1, x20
0xffffff80086e2cf4: bl	#0xffffff80083a33c0
0xffffff80086e2cf8: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2cfc: ldr	w1, [sp, #0x38]
0xffffff80086e2d00: mov	x0, x19
0xffffff80086e2d04: bl	#0xffffff80086eb240
0xffffff80086e2d08: b	#0xffffff80086e32f8
0xffffff80086e2d0c: mrs	x8, sp_el0
0xffffff80086e2d10: ldr	x8, [x8, #8]
0xffffff80086e2d14: mov	x9, x20
0xffffff80086e2d18: adds	x9, x9, #4
0xffffff80086e2d1c: ccmp	x9, x8, #2, lo
0xffffff80086e2d20: cset	x10, ls
0xffffff80086e2d24: cbz	x10, #0xffffff80086e2d58
0xffffff80086e2d28: add	x0, sp, #0x38
0xffffff80086e2d2c: mov	w1, #4
0xffffff80086e2d30: mov	w2, wzr
0xffffff80086e2d34: bl	#0xffffff80082007a8
0xffffff80086e2d38: add	x0, sp, #0x38
0xffffff80086e2d3c: mov	w2, #4
0xffffff80086e2d40: mov	x1, x20
0xffffff80086e2d44: bl	#0xffffff80083a33c0
0xffffff80086e2d48: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2d4c: ldr	w0, [sp, #0x38]
0xffffff80086e2d50: bl	#0xffffff80086f2b4c
0xffffff80086e2d54: b	#0xffffff80086e32f8
0xffffff80086e2d58: str	wzr, [sp, #0x38]
0xffffff80086e2d5c: mov	x21, #-0xe
0xffffff80086e2d60: adrp	x9, #0xffffff80096d3000
0xffffff80086e2d64: ldur	x8, [x29, #-0x38]
0xffffff80086e2d68: ldr	x9, [x9, #0xa48]
0xffffff80086e2d6c: cmp	x9, x8
0xffffff80086e2d70: b.ne	#0xffffff80086e33d0
0xffffff80086e2d74: mov	x0, x21
0xffffff80086e2d78: ldp	x29, x30, [sp, #0xc0]
0xffffff80086e2d7c: ldp	x20, x19, [sp, #0xb0]
0xffffff80086e2d80: ldp	x22, x21, [sp, #0xa0]
0xffffff80086e2d84: ldp	x24, x23, [sp, #0x90]
0xffffff80086e2d88: add	sp, sp, #0xd0
0xffffff80086e2d8c: ret	
0xffffff80086e2d90: mrs	x8, sp_el0
0xffffff80086e2d94: ldr	x8, [x8, #8]
0xffffff80086e2d98: mov	x9, x20
0xffffff80086e2d9c: adds	x9, x9, #0x14
0xffffff80086e2da0: ccmp	x9, x8, #2, lo
0xffffff80086e2da4: cset	x10, ls
0xffffff80086e2da8: cbz	x10, #0xffffff80086e2f48
0xffffff80086e2dac: add	x0, sp, #0x38
0xffffff80086e2db0: mov	w1, #0x14
0xffffff80086e2db4: mov	w2, wzr
0xffffff80086e2db8: bl	#0xffffff80082007a8
0xffffff80086e2dbc: add	x0, sp, #0x38
0xffffff80086e2dc0: mov	w2, #0x14
0xffffff80086e2dc4: mov	x1, x20
0xffffff80086e2dc8: bl	#0xffffff80083a33c0
0xffffff80086e2dcc: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2dd0: mov	w8, #0x2f90
0xffffff80086e2dd4: movk	w8, #2, lsl #16
0xffffff80086e2dd8: add	x20, x19, x8
0xffffff80086e2ddc: mov	x0, x20
0xffffff80086e2de0: bl	#0xffffff8008ca8158
0xffffff80086e2de4: ldr	x8, [x19, #8]
0xffffff80086e2de8: add	x1, sp, #0x38
0xffffff80086e2dec: ldr	x0, [x8, #0x1ac8]
0xffffff80086e2df0: bl	#0xffffff80086d7470
0xffffff80086e2df4: b	#0xffffff80086e2704
0xffffff80086e2df8: mrs	x21, sp_el0
0xffffff80086e2dfc: ldr	x8, [x21, #8]
0xffffff80086e2e00: mov	x9, x20
0xffffff80086e2e04: adds	x9, x9, #0x10
0xffffff80086e2e08: ccmp	x9, x8, #2, lo
0xffffff80086e2e0c: cset	x10, ls
0xffffff80086e2e10: cbz	x10, #0xffffff80086e2f10
0xffffff80086e2e14: add	x0, sp, #0x38
0xffffff80086e2e18: mov	w1, #0x10
0xffffff80086e2e1c: mov	w2, wzr
0xffffff80086e2e20: bl	#0xffffff80082007a8
0xffffff80086e2e24: add	x0, sp, #0x38
0xffffff80086e2e28: mov	w2, #0x10
0xffffff80086e2e2c: mov	x1, x20
0xffffff80086e2e30: bl	#0xffffff80083a33c0
0xffffff80086e2e34: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2e38: ldp	x1, x2, [sp, #0x38]
0xffffff80086e2e3c: add	x3, sp, #0x38
0xffffff80086e2e40: mov	x0, x19
0xffffff80086e2e44: bl	#0xffffff80086dd4f4
0xffffff80086e2e48: ldr	x8, [x21, #8]
0xffffff80086e2e4c: mov	x9, x20
0xffffff80086e2e50: mov	w19, w0
0xffffff80086e2e54: adds	x9, x9, #0x10
0xffffff80086e2e58: ccmp	x9, x8, #2, lo
0xffffff80086e2e5c: cset	x10, ls
0xffffff80086e2e60: mov	x21, #-0xe
0xffffff80086e2e64: cbz	x10, #0xffffff80086e2d60
0xffffff80086e2e68: add	x0, sp, #0x38
0xffffff80086e2e6c: mov	w1, #0x10
0xffffff80086e2e70: mov	w2, #1
0xffffff80086e2e74: bl	#0xffffff80082007a8
0xffffff80086e2e78: add	x1, sp, #0x38
0xffffff80086e2e7c: mov	w2, #0x10
0xffffff80086e2e80: mov	x0, x20
0xffffff80086e2e84: bl	#0xffffff80083a3a00
0xffffff80086e2e88: sxtw	x8, w19
0xffffff80086e2e8c: cmp	w0, #0
0xffffff80086e2e90: csel	x21, x8, x21, eq
0xffffff80086e2e94: b	#0xffffff80086e2d60
0xffffff80086e2e98: mrs	x21, sp_el0
0xffffff80086e2e9c: ldr	x8, [x21, #8]
0xffffff80086e2ea0: mov	x9, x20
0xffffff80086e2ea4: adds	x9, x9, #0x20
0xffffff80086e2ea8: ccmp	x9, x8, #2, lo
0xffffff80086e2eac: cset	x10, ls
0xffffff80086e2eb0: cbz	x10, #0xffffff80086e2f08
0xffffff80086e2eb4: add	x0, sp, #0x38
0xffffff80086e2eb8: mov	w1, #0x20
0xffffff80086e2ebc: mov	w2, wzr
0xffffff80086e2ec0: bl	#0xffffff80082007a8
0xffffff80086e2ec4: add	x0, sp, #0x38
0xffffff80086e2ec8: mov	w2, #0x20
0xffffff80086e2ecc: mov	x1, x20
0xffffff80086e2ed0: bl	#0xffffff80083a33c0
0xffffff80086e2ed4: cbnz	w0, #0xffffff80086e2d5c
0xffffff80086e2ed8: ldr	x22, [sp, #0x50]
0xffffff80086e2edc: str	x22, [sp, #0x18]
0xffffff80086e2ee0: bl	#0xffffff8008129748
0xffffff80086e2ee4: mov	w8, #0x2dd8
0xffffff80086e2ee8: movk	w8, #2, lsl #16
0xffffff80086e2eec: ldr	x23, [x19, x8]
0xffffff80086e2ef0: ldr	x24, [x21, #0x4d0]
0xffffff80086e2ef4: bl	#0xffffff800812975c
0xffffff80086e2ef8: cmp	x24, x23
0xffffff80086e2efc: b.eq	#0xffffff80086e3084
0xffffff80086e2f00: mov	x19, #-0x16
0xffffff80086e2f04: b	#0xffffff80086e30d0
0xffffff80086e2f08: str	xzr, [sp, #0x50]
0xffffff80086e2f0c: str	xzr, [sp, #0x48]
0xffffff80086e2f10: str	xzr, [sp, #0x40]
0xffffff80086e2f14: str	xzr, [sp, #0x38]
0xffffff80086e2f18: b	#0xffffff80086e2d5c
0xffffff80086e2f1c: ldr	x0, [x0, #0x20]
0xffffff80086e2f20: adrp	x1, #0xffffff8008fce000
0xffffff80086e2f24: and	w3, w8, #0xff
0xffffff80086e2f28: add	x1, x1, #0xe9b
0xffffff80086e2f2c: mov	w2, w8
0xffffff80086e2f30: bl	#0xffffff80084333b4
0xffffff80086e2f34: mov	x21, #-0x203
0xffffff80086e2f38: b	#0xffffff80086e2d60
0xffffff80086e2f3c: stp	xzr, xzr, [sp, #0x28]
0xffffff80086e2f40: stp	xzr, xzr, [sp, #0x18]
0xffffff80086e2f44: b	#0xffffff80086e2d5c
0xffffff80086e2f48: str	wzr, [sp, #0x48]
0xffffff80086e2f4c: b	#0xffffff80086e2f10
0xffffff80086e2f50: mov	w1, #0xc0
0xffffff80086e2f54: movk	w1, #0x240, lsl #16
0xffffff80086e2f58: bl	#0xffffff80081f8880
0xffffff80086e2f5c: mov	x20, x0
0xffffff80086e2f60: cmp	x20, #0x11
0xffffff80086e2f64: b.hs	#0xffffff80086e3118
0xffffff80086e2f68: mov	x21, #-0xc
0xffffff80086e2f6c: b	#0xffffff80086e2d60
0xffffff80086e2f70: ldr	x21, [sp, #0x20]
0xffffff80086e2f74: ldr	x9, [x22, #8]
0xffffff80086e2f78: lsl	x20, x8, #3
0xffffff80086e2f7c: add	x0, sp, #0x38
0xffffff80086e2f80: mov	x8, x21
0xffffff80086e2f84: adds	x8, x8, x20
0xffffff80086e2f88: ccmp	x8, x9, #2, lo
0xffffff80086e2f8c: cset	x10, ls
0xffffff80086e2f90: cbz	x10, #0xffffff80086e31dc
0xffffff80086e2f94: mov	x1, x20
0xffffff80086e2f98: mov	w2, wzr
0xffffff80086e2f9c: bl	#0xffffff80082007a8
0xffffff80086e2fa0: add	x0, sp, #0x38
0xffffff80086e2fa4: mov	x1, x21
0xffffff80086e2fa8: mov	x2, x20
0xffffff80086e2fac: bl	#0xffffff80083a33c0
0xffffff80086e2fb0: mov	x20, x0
0xffffff80086e2fb4: cbnz	w20, #0xffffff80086e2d5c
0xffffff80086e2fb8: b	#0xffffff80086e31ec
0xffffff80086e2fbc: ldr	x21, [sp, #0x20]
0xffffff80086e2fc0: ldr	x9, [x22, #8]
0xffffff80086e2fc4: lsl	x20, x8, #3
0xffffff80086e2fc8: add	x0, sp, #0x38
0xffffff80086e2fcc: mov	x8, x21
0xffffff80086e2fd0: adds	x8, x8, x20
0xffffff80086e2fd4: ccmp	x8, x9, #2, lo
0xffffff80086e2fd8: cset	x10, ls
0xffffff80086e2fdc: cbz	x10, #0xffffff80086e322c
0xffffff80086e2fe0: mov	x1, x20
0xffffff80086e2fe4: mov	w2, wzr
0xffffff80086e2fe8: bl	#0xffffff80082007a8
0xffffff80086e2fec: add	x0, sp, #0x38
0xffffff80086e2ff0: mov	x1, x21
0xffffff80086e2ff4: mov	x2, x20
0xffffff80086e2ff8: bl	#0xffffff80083a33c0
0xffffff80086e2ffc: mov	x20, x0
0xffffff80086e3000: cbz	w20, #0xffffff80086e323c
0xffffff80086e3004: mov	w20, #-0xe
0xffffff80086e3008: sxtw	x21, w20
0xffffff80086e300c: b	#0xffffff80086e2d60
0xffffff80086e3010: mov	x19, #-0xc
0xffffff80086e3014: ldr	x8, [x21, #8]
0xffffff80086e3018: mov	x9, x20
0xffffff80086e301c: mov	x21, #-0xe
0xffffff80086e3020: adds	x9, x9, #0x18
0xffffff80086e3024: ccmp	x9, x8, #2, lo
0xffffff80086e3028: cset	x10, ls
0xffffff80086e302c: cbz	x10, #0xffffff80086e2d60
0xffffff80086e3030: add	x0, sp, #0x38
0xffffff80086e3034: mov	w1, #0x18
0xffffff80086e3038: mov	w2, #1
0xffffff80086e303c: bl	#0xffffff80082007a8
0xffffff80086e3040: add	x1, sp, #0x38
0xffffff80086e3044: mov	w2, #0x18
0xffffff80086e3048: b	#0xffffff80086e3104
0xffffff80086e304c: ldr	w8, [sp, #0x40]
0xffffff80086e3050: ldr	w19, [x22, #0x19d8]
0xffffff80086e3054: cbz	w8, #0xffffff80086e2710
0xffffff80086e3058: cmp	w8, w19
0xffffff80086e305c: b.hs	#0xffffff80086e3288
0xffffff80086e3060: mov	w19, #-0x16
0xffffff80086e3064: b	#0xffffff80086e2710
0xffffff80086e3068: mov	w21, #0x14
0xffffff80086e306c: b	#0xffffff80086e2d60
